Notes,County,County Code,Year,Year Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Jefferson County, AL",1073,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,34,655893,5.2,5.2
,"Jefferson County, AL",1073,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,31,655163,4.7,4.6
,"Jefferson County, AL",1073,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,32,655163,4.9,4.8
,"Jefferson County, AL",1073,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18,656510,2.7 (Unreliable),2.9 (Unreliable)
,"Jefferson County, AL",1073,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,39,656510,5.9,5.6
,"Jefferson County, AL",1073,2009,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,33,658441,5,5.1
,"Jefferson County, AL",1073,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,45,658441,6.8,6.8
,"Jefferson County, AL",1073,2010,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,27,658466,4.1,4.1
,"Jefferson County, AL",1073,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,26,658466,3.9,4
,"Lauderdale County, AL",1077,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,91107,14.3 (Unreliable),14.7 (Unreliable)
,"Lauderdale County, AL",1077,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15,92202,16.3 (Unreliable),14.5 (Unreliable)
,"Limestone County, AL",1083,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,78835,12.7 (Unreliable),11.5 (Unreliable)
,"Limestone County, AL",1083,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12,82782,14.5 (Unreliable),15.1 (Unreliable)
,"Madison County, AL",1089,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16,323526,4.9 (Unreliable),4.9 (Unreliable)
,"Madison County, AL",1089,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,24,330856,7.3,7.2
,"Madison County, AL",1089,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,26,334811,7.8,8
,"Mobile County, AL",1097,2006,2006,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12,402916,3.0 (Unreliable),3.0 (Unreliable)
,"Mobile County, AL",1097,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,402916,2.7 (Unreliable),2.8 (Unreliable)
,"Mobile County, AL",1097,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15,405715,3.7 (Unreliable),3.8 (Unreliable)
,"Mobile County, AL",1097,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,31,405715,7.6,8
,"Mobile County, AL",1097,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,24,409196,5.9,6
,"Mobile County, AL",1097,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,22,409196,5.4,5.6
,"Mobile County, AL",1097,2009,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15,411994,3.6 (Unreliable),3.7 (Unreliable)
,"Mobile County, AL",1097,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,35,411994,8.5,8.6
,"Mobile County, AL",1097,2010,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,16,412992,3.9 (Unreliable),4.1 (Unreliable)
,"Mobile County, AL",1097,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,22,412992,5.3,6
,"Montgomery County, AL",1101,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12,229363,5.2 (Unreliable),5.7 (Unreliable)
,"Morgan County, AL",1103,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,115491,9.5 (Unreliable),9.3 (Unreliable)
,"Morgan County, AL",1103,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12,116397,10.3 (Unreliable),10.4 (Unreliable)
,"Morgan County, AL",1103,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16,117694,13.6 (Unreliable),12.9 (Unreliable)
,"Morgan County, AL",1103,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,118954,15.1 (Unreliable),15.4 (Unreliable)
,"Morgan County, AL",1103,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,119490,8.4 (Unreliable),8.1 (Unreliable)
,"Shelby County, AL",1117,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,178841,7.3 (Unreliable),7.0 (Unreliable)
,"Shelby County, AL",1117,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14,183491,7.6 (Unreliable),8.1 (Unreliable)
,"Shelby County, AL",1117,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,183491,6.0 (Unreliable),6.0 (Unreliable)
,"Shelby County, AL",1117,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,25,188534,13.3,12.3
,"Shelby County, AL",1117,2009,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11,192708,5.7 (Unreliable),5.8 (Unreliable)
,"Shelby County, AL",1117,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16,192708,8.3 (Unreliable),8.5 (Unreliable)
,"Shelby County, AL",1117,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,195085,5.1 (Unreliable),5.1 (Unreliable)
,"Tuscaloosa County, AL",1125,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16,181383,8.8 (Unreliable),8.8 (Unreliable)
,"Tuscaloosa County, AL",1125,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11,184350,6.0 (Unreliable),6.6 (Unreliable)
,"Tuscaloosa County, AL",1125,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15,184350,8.1 (Unreliable),9.3 (Unreliable)
,"Tuscaloosa County, AL",1125,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13,188093,6.9 (Unreliable),8.2 (Unreliable)
,"Tuscaloosa County, AL",1125,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,188093,9.6 (Unreliable),10.4 (Unreliable)
,"Tuscaloosa County, AL",1125,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,24,192792,12.4,14.1
,"Tuscaloosa County, AL",1125,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,194656,9.2 (Unreliable),9.2 (Unreliable)
,"Walker County, AL",1127,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16,67695,23.6 (Unreliable),24.9 (Unreliable)
,"Walker County, AL",1127,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,31,67835,45.7,48.5
,"Walker County, AL",1127,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,29,67347,43.1,48.7
,"Walker County, AL",1127,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,20,67023,29.8,30.8
,"Anchorage Borough, AK",2020,2006,2006,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11,280085,3.9 (Unreliable),3.8 (Unreliable)
,"Anchorage Borough, AK",2020,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12,280085,4.3 (Unreliable),3.8 (Unreliable)
,"Anchorage Borough, AK",2020,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,15,278792,5.4 (Unreliable),4.9 (Unreliable)
,"Anchorage Borough, AK",2020,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,22,278792,7.9,7.6
,"Anchorage Borough, AK",2020,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17,281554,6.0 (Unreliable),5.4 (Unreliable)
,"Anchorage Borough, AK",2020,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,22,281554,7.8,7.6
,"Anchorage Borough, AK",2020,2009,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,16,287677,5.6 (Unreliable),5.4 (Unreliable)
,"Anchorage Borough, AK",2020,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,27,287677,9.4,8.8
,"Anchorage Borough, AK",2020,2010,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17,291826,5.8 (Unreliable),5.4 (Unreliable)
,"Anchorage Borough, AK",2020,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14,291826,4.8 (Unreliable),4.6 (Unreliable)
,"Kenai Peninsula Borough, AK",2122,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,54796,18.2 (Unreliable),19.2 (Unreliable)
,"Matanuska-Susitna Borough, AK",2170,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,84079,11.9 (Unreliable),12.0 (Unreliable)
,"Cochise County, AZ",4003,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12,131346,9.1 (Unreliable),9.7 (Unreliable)
,"Maricopa County, AZ",4013,2006,2006,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,56,3642884,1.5,1.6
,"Maricopa County, AZ",4013,2006,2006,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,208,3642884,5.7,5.7
,"Maricopa County, AZ",4013,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,132,3642884,3.6,3.7
,"Maricopa County, AZ",4013,2006,2006,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,20,3642884,0.5,0.6
,"Maricopa County, AZ",4013,2006,2006,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,21,3642884,0.6,0.6
,"Maricopa County, AZ",4013,2006,2006,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,39,3642884,1.1,1.1
,"Maricopa County, AZ",4013,2006,2006,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",Y11,10,3642884,0.3 (Unreliable),0.3 (Unreliable)
,"Maricopa County, AZ",4013,2006,2006,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,19,3642884,0.5 (Unreliable),0.5 (Unreliable)
,"Maricopa County, AZ",4013,2006,2006,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,24,3642884,0.7,0.7
,"Maricopa County, AZ",4013,2007,2007,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,60,3711954,1.6,1.7
,"Maricopa County, AZ",4013,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,200,3711954,5.4,5.5
,"Maricopa County, AZ",4013,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,149,3711954,4,4.1
,"Maricopa County, AZ",4013,2007,2007,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,21,3711954,0.6,0.6
,"Maricopa County, AZ",4013,2007,2007,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,19,3711954,0.5 (Unreliable),0.5 (Unreliable)
,"Maricopa County, AZ",4013,2007,2007,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,73,3711954,2,2
,"Maricopa County, AZ",4013,2007,2007,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,16,3711954,0.4 (Unreliable),0.4 (Unreliable)
,"Maricopa County, AZ",4013,2007,2007,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,21,3711954,0.6,0.6
,"Maricopa County, AZ",4013,2008,2008,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,48,3771061,1.3,1.3
,"Maricopa County, AZ",4013,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,163,3771061,4.3,4.3
,"Maricopa County, AZ",4013,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,192,3771061,5.1,5.3
,"Maricopa County, AZ",4013,2008,2008,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,14,3771061,0.4 (Unreliable),0.4 (Unreliable)
,"Maricopa County, AZ",4013,2008,2008,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,10,3771061,0.3 (Unreliable),0.3 (Unreliable)
,"Maricopa County, AZ",4013,2008,2008,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,60,3771061,1.6,1.7
,"Maricopa County, AZ",4013,2008,2008,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,10,3771061,0.3 (Unreliable),0.3 (Unreliable)
,"Maricopa County, AZ",4013,2008,2008,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,20,3771061,0.5,0.6
,"Maricopa County, AZ",4013,2009,2009,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,47,3803779,1.2,1.3
,"Maricopa County, AZ",4013,2009,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,150,3803779,3.9,3.9
,"Maricopa County, AZ",4013,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,232,3803779,6.1,6.2
,"Maricopa County, AZ",4013,2009,2009,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,15,3803779,0.4 (Unreliable),0.4 (Unreliable)
,"Maricopa County, AZ",4013,2009,2009,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,10,3803779,0.3 (Unreliable),0.3 (Unreliable)
,"Maricopa County, AZ",4013,2009,2009,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,57,3803779,1.5,1.5
,"Maricopa County, AZ",4013,2009,2009,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",Y11,11,3803779,0.3 (Unreliable),0.3 (Unreliable)
,"Maricopa County, AZ",4013,2009,2009,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",Y12,16,3803779,0.4 (Unreliable),0.4 (Unreliable)
,"Maricopa County, AZ",4013,2009,2009,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,22,3803779,0.6,0.6
,"Maricopa County, AZ",4013,2010,2010,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,43,3817117,1.1,1.2
,"Maricopa County, AZ",4013,2010,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,153,3817117,4,4
,"Maricopa County, AZ",4013,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,271,3817117,7.1,7.2
,"Maricopa County, AZ",4013,2010,2010,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,12,3817117,0.3 (Unreliable),0.3 (Unreliable)
,"Maricopa County, AZ",4013,2010,2010,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,63,3817117,1.7,1.7
,"Maricopa County, AZ",4013,2010,2010,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,40,3817117,1,1.1
,"Mohave County, AZ",4015,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10,199760,5.0 (Unreliable),6.1 (Unreliable)
,"Mohave County, AZ",4015,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,19,200078,9.5 (Unreliable),10.3 (Unreliable)
,"Mohave County, AZ",4015,2009,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,29,199696,14.5,18.1
,"Mohave County, AZ",4015,2010,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,24,200186,12,12.8
,"Mohave County, AZ",4015,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,19,200186,9.5 (Unreliable),9.8 (Unreliable)
,"Pima County, AZ",4019,2006,2006,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,107,940930,11.4,11.6
,"Pima County, AZ",4019,2006,2006,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,41,940930,4.4,4.5
,"Pima County, AZ",4019,2006,2006,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,940930,1.1 (Unreliable),1.2 (Unreliable)
,"Pima County, AZ",4019,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,72,955869,7.5,8.1
,"Pima County, AZ",4019,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,55,955869,5.8,6
,"Pima County, AZ",4019,2007,2007,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,13,955869,1.4 (Unreliable),1.3 (Unreliable)
,"Pima County, AZ",4019,2008,2008,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,12,967778,1.2 (Unreliable),1.2 (Unreliable)
,"Pima County, AZ",4019,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,50,967778,5.2,5.4
,"Pima County, AZ",4019,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,28,967778,2.9,3.2
,"Pima County, AZ",4019,2008,2008,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,12,967778,1.2 (Unreliable),1.3 (Unreliable)
,"Pima County, AZ",4019,2009,2009,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,96,975580,9.8,10.4
,"Pima County, AZ",4019,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,37,975580,3.8,4
,"Pima County, AZ",4019,2009,2009,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,10,975580,1.0 (Unreliable),1.0 (Unreliable)
,"Pima County, AZ",4019,2009,2009,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,16,975580,1.6 (Unreliable),1.6 (Unreliable)
,"Pima County, AZ",4019,2010,2010,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,11,980263,1.1 (Unreliable),1.2 (Unreliable)
,"Pima County, AZ",4019,2010,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,87,980263,8.9,9.3
,"Pima County, AZ",4019,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,64,980263,6.5,6.5
,"Pima County, AZ",4019,2010,2010,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,13,980263,1.3 (Unreliable),1.3 (Unreliable)
,"Pinal County, AZ",4021,2007,2007,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11,306174,3.6 (Unreliable),3.8 (Unreliable)
,"Pinal County, AZ",4021,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15,306174,4.9 (Unreliable),5.2 (Unreliable)
,"Pinal County, AZ",4021,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12,335311,3.6 (Unreliable),3.9 (Unreliable)
,"Pinal County, AZ",4021,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,17,349830,4.9 (Unreliable),4.9 (Unreliable)
,"Pinal County, AZ",4021,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,21,375770,5.6,5.9
,"Yavapai County, AZ",4025,2007,2007,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10,208773,4.8 (Unreliable),3.9 (Unreliable)
,"Yavapai County, AZ",4025,2008,2008,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14,211211,6.6 (Unreliable),8.3 (Unreliable)
,"Yavapai County, AZ",4025,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,211172,6.2 (Unreliable),6.3 (Unreliable)
,"Yavapai County, AZ",4025,2009,2009,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11,211172,5.2 (Unreliable),5.0 (Unreliable)
,"Yavapai County, AZ",4025,2010,2010,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18,211033,8.5 (Unreliable),10.6 (Unreliable)
,"Yavapai County, AZ",4025,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,211033,6.2 (Unreliable),7.3 (Unreliable)
,"Yuma County, AZ",4027,2007,2007,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,15,187357,8.0 (Unreliable),9.5 (Unreliable)
,"Yuma County, AZ",4027,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14,193714,7.2 (Unreliable),8.4 (Unreliable)
,"Yuma County, AZ",4027,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18,195751,9.2 (Unreliable),10.6 (Unreliable)
,"Benton County, AR",5007,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11,210807,5.2 (Unreliable),5.4 (Unreliable)
,"Benton County, AR",5007,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12,216620,5.5 (Unreliable),5.7 (Unreliable)
,"Benton County, AR",5007,2010,2010,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12,221339,5.4 (Unreliable),5.6 (Unreliable)
,"Craighead County, AR",5031,2008,2008,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13,93316,13.9 (Unreliable),15.9 (Unreliable)
,"Craighead County, AR",5031,2009,2009,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,19,95482,19.9 (Unreliable),20.9 (Unreliable)
,"Garland County, AR",5051,2007,2007,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,12,94753,12.7 (Unreliable),12.4 (Unreliable)
